title,content,publishedAt,url
Homeless being rounded up and taken to camps amid coronavirus outbreak,"SEATAC (INTELLIHUB) — King County officials announced on Saturday a plan to take homeless to the old arrivals section at Boeing Field against everything America stands for.
Under the current national state of emergency declaration snatch and grabs of American citizens have been authorized at the highest levels in an effort to mitigate the spread of the deadly Covid-19 Contagion.
Authorities have been ordered to use force if necessary to carry out quarantine orders.
From the Seattle Times:
The two quarantine or isolation properties are the Eastgate parking lot in Bellevue and a motel in Issaquah the county just leased.
City and county officials have scrambled to open up new space to create social distancing in crowded shelters, which house a vulnerable population at risk of contracting severe COVID-19 illnesses. Officials anticipate “hundreds or thousands” of people needing to use quarantine facilities in the coming weeks who cannot isolate at home or do not have homes of their own, according to King County Leo Flor, director of the county’s Department of Community and Human Services.
Keep in mind, homeless are not the only humans authorized to be detained. If you think you are immune to the order that you may have another thing coming.
Under the current national state of emergency, anyone in violation of a quarantine order will receive a $250,000 fine and mandatory imprisonment. So you may want to think twice about leaving your home during the zombie apocalypse once the U.S. military begins to enforce it.
And if that is not bad enough, being taken to a camp with the infected would surely mean a horrible death. Remember, officials have been lying about the kill rate which seems to be about 16% in Washington State.
Meanwhile, in Austin, Texas local authorities have openly admitted that the violation of a quarantine order equals jail time.
On a local level: “State law allows local health authorities to issue the orders — which include criminal charges and fines. The Texas Health and Safety Code shows a violation of an order is punishable by up to six months in jail and a $2,000 fine. The crime is a Class B misdemeanor.,” according to a report posted on KXAN.com.
The National Guard is currently positioning throughout Washington State ahead of quarantine lockdown. The following convoy was deployed out of Fort Lewis.
Just passed 20+ #NationalGuard on i5 heading S passed Tacoma. It’s begun. #NationalEmergency #Washington #washingtonstate #wa #wastate #seattle #coronavirus #QuarantineAndChill #quarantine #travelban #california #oregon pic.twitter.com/MPUvZQRPYi
— that.OG.Alexa (@AlexaSeliga) March 13, 2020

PA loudspeakers mounted to up-armored Humvees. The complete martial law package. These babies will be cruising around local neighborhoods in the coming days.
pic.twitter.com/Mv3IKU2jMN
— JB 🇺🇸 (@JBitterly) March 15, 2020

In Colorado…
Today on assignment for @reuters documenting the military getting involved in the Coronavirus pandemic response – Members of the Colorado Air National Guard test people who suspect they are infected with coronavirus disease (COVID-19), at a drive-thru te… https://t.co/BRaQKuFcAv pic.twitter.com/iLix2slL3m
— Jim Urquhart (@jimurquhartpixs) March 14, 2020

What are you going to do as Covid-19 engulfs the U.S.? Hunker down or bugout?
Poll: What are you going to do as Covid-19 engulfs the U.S.? Honker down or bugout?
— Intellihub (@intellihubnews) March 15, 2020

",2020-03-15T09:42:55+00:00,https://www.intellihub.com/homeless-being-rounded-up-an-taken-to-camps-amid-coronavirus-outbreak/
National Guard arrives New Rochelle to “contain” coronavirus cluster,"WESTCHESTER CO. (INTELLIHUB) —  U.S. national Guard troops began to arrive in New Rochelle during the wee hours of the morning on Thursday in an attempt to contain the deadly SARS-CoV-2 coronavirus contagion which has been proven to be able to survive in the air for three hours.
A video posted to Twitter shows U.S. military helicopters closing in on the city from above.
https://twitter.com/Johnny_Edits/status/1237911038693199872
Officials have ordered the shutdown of schools, places of worship, and other public gatherings which they say will be off-limits for several weeks while disinfecting operations are being conducted.
#mountvernonny taking precautionary measures. Schools in the city closed Thursday & Friday for cleaning. This, after it was discovered the mother of 2 students in the district may have come in contact  with #NewRochelle lawyer who tested positive for #coronavirus pic.twitter.com/kfex6vuA3m
— Michelle Brown (@MichelleBNews12) March 5, 2020

Needless to say, the town of 79,946 residents may look like the following scene from the walking dead in the coming days.

Thursday morning, the city appeared to be empty as residents hunkered down inside following official public health announcements.
America's first #coronavirus ghost town: Pictures from inside #NewYork containment zone of #NewRochelle show deserted streets, empty restaurants and closed schools pic.twitter.com/htHFmOfSNA
— Hans Solo (@thandojo) March 12, 2020

Meanwhile, back in Washington, the White House Coronavirus Task Force claims to be currently wargaming mitigation strategies for New Rochelle but no plans have been publically announced.
BREAKING: @VP Mike Pence calling for a 30 day mitigation strategy in #NewRochelle to fight against #coronavirus pic.twitter.com/Ddz7nAUpqU
— Richard Giacovas (@RichardGFox5) March 12, 2020

As a result of the news, price gouging has been taking place in the community.
Nearly four and a half dollars for a two-ounce bottle of hand sanitizer. That is nearly $2.25 per ounce!
https://twitter.com/AstineyMx0/status/1237957994874363904
Few are catching on to what may be to come.
A Tweet posted by Twitter user @Redpill137 expresses concern over something that does not add up.
“#NewRochelle, NY is riddled with the Israeli #coronavirus. It is now the largest cluster in the US with 100+ confirmed cases. We have now deployed the National Guard to quarantine the Jewish neighborhood, yet there is no ban on flights from #Israel.,” the Tweet explains.
#NewRochelle, NY is riddled with the Israeli #coronavirus. It is now the largest cluster in the US with 100+ confirmed cases. We have now deployed the National Guard to quarantine the Jewish neighborhood, yet there is no ban on flights from #Israel.#IsraeliCoronavirus https://t.co/5gNuA2HP4z pic.twitter.com/G2FoADAoRi
— قرص قرمز (@Redpill137) March 11, 2020

Withal, it appears that the U.S. military may actually be prepositioning to take the Bronx and Manhattan into hot martial law and may not actually be focusing on the city of New Rochelle as officials claim. (i.e. The brunt of the cluster may not be in New Rochelle but rather in Manhattan and the Bronx)
Intellihub editor-in-chief Shepard Ambellas reveals intel suggesting just that in the following Tweet:
BREAKING INTEL: The @NationalGuardNY to use New Rochelle as a satging point to set up and eventually take Manhattan and the Bronx into hot #martiallaw #FEMAcamps #quarantine #Coronavirus #COVID19 pic.twitter.com/w3ewJoi1Ks
— Shepard Ambellas (@ShepardAmbellas) March 12, 2020

If the military uses New Rochelle as a staging area it would make it easy for them to quarantine the Bronx and Manhattan by just sealing off several major roadways which would ultimately limit all traffic and pedestrian flow in and out of the vicinity.
Is the current 1-mile “containment zone” in New Rochelle just a staging point for the U.S. military to full quarantine and take Manhattan and the Bronx into all-out martial law?
Is the current 1-mile ""containment zone"" in New Rochelle just a staging point for the U.S. military to full quarantine and take Manhattan and the Bronx into all-out martial law? #coronavirus #NewRochelle #COVID19 #martiallaw
— Intellihub (@intellihubnews) March 12, 2020
",2020-03-12T09:12:05+00:00,https://www.intellihub.com/national-guard-arrives-new-rochelle-to-contain-coronavirus-cluster/
Tests indicate coronavirus can survive in the air,"Federally funded tests conducted by scientists from several major institutions indicated that the novel form of coronavirus behind a worldwide outbreak can survive in the air for several hours.
A study awaiting peer review from scientists at Princeton University, the University of California-Los Angeles and the National Institutes of Health (NIH) posted online Wednesday indicated that the COVID-19 virus could remain viable in the air “up to 3 hours post aerosolization,” while remaining alive on plastic and other surfaces for up to three days.",2020-03-12T07:49:56+00:00,https://www.intellihub.com/tests-indicate-coronavirus-can-survive-in-the-air/
Super-rich jet off to disaster bunkers amid coronavirus outbreak,"Like hundreds of thousands of people across the world, the super-rich are preparing to self-isolate in the face of an escalation in the coronavirus crisis. But their plans extend far beyond stocking up on hand sanitiser and TV boxsets.
The world’s richest people are chartering private jets to set off for holiday homes or specially prepared disaster bunkers in countries that, so far, appear to have avoided the worst of the Covid-19 outbreak.
Many are understood to be taking personal doctors or nurses on their flights to treat them and their families in the event that they become infected. The wealthy are also besieging doctors in private clinics in Harley Street, London, and across the world, demanding private coronavirus tests.",2020-03-12T07:13:21+00:00,https://www.intellihub.com/super-rich-jet-off-to-disaster-bunkers-amid-coronavirus-outbreak/
Washington State Department of Health official coronavirus numbers set COVID-19 kill...,"(INTELLIHUB) — Information posted on the Washington State Department of Health’s official website reveals that the statewide death rate from COVID-19 is currently sitting at a staggering 16% as opposed to the World Health Organization’s worldwide average of 3.4%.
Official numbers as of Sunday show that out of 102 total confirmed cases there have been 16 deaths.
Washington State Governor Jay Inslee issued a state of emergency declaration last week over coronavirus.",2020-03-08T12:35:24+00:00,https://www.intellihub.com/washington-state-department-of-health-official-coronavirus-numbers-set-covid-19-kill-rate-at-16/
"News outlets, White House, under-report coronavirus deaths to stall public panic…...","(INTELLIHUB) — Governors in five states have declared a state of emergency in an effort to contain and mitigate the SARS-CoV-2 coronavirus strain that is currently seeding the populace like wildfire.
Official COVID-19 death rates are currently being underreported by government agencies and the media in an effort to keep public panic to a minimum as the virus continues to silently infect Americans in nearly all states.
A good example of such deception can be found within the death rate at the Kirkland, Washington LifeCare facility which as of Saturday had reached a staggering 22% +/- and still rising but you won’t hear any of this reported on the nightly news. That’s a total of 26 deaths as of Saturday.
26 people have died from the Kirkland LifeCare facility alone! Wake up! #coronavirus pic.twitter.com/n8amdu9ukI
— Shepard Ambellas (@ShepardAmbellas) March 8, 2020

The CDC reports that a total of 48 states now have testing capabilities. However, the testing of suspected cases remains flawed and limited which can only be seen as a last-ditch attempt by the government to stall panic as the virus begins to bloom.
Additionally, official test results are now only being released only once a week as opposed to daily. This means that on any given Friday the situation has the potential to come to a head and proverbially explode.
The CDC currently reports 164 U.S. cases between 19 states and 11 deaths. However, there were 26 dead as of Saturday at LifeCare of Kirkland alone, according to information obtained by Intellihub.
Moreover, the virus has a confirmed 23-27 day incubation period yet the CDC is only mandating a 14-day isolation period allowing for sustained human-to-human spread.
The CDC currently reports the global mortality rate to be 3.4%.
This all goes to show that the mainstream media and the White House can simply not be trusted.
",2020-03-08T09:40:18+00:00,https://www.intellihub.com/news-outlets-white-house-under-report-coronavirus-deaths-to-stall-public-panic-over-22-kill-rate-at-lifecare-facility-and-rising/
"Leaked: American Hospital Association webinar slide reveals officials expect 480,000 U.S....","(INTELLIHUB) — A leaked webinar slide bearing American Hospital Association (AHA) and Netech logos reveals the total official number of projected COVID-19 deaths over a 60 day period in the United States and sets them at a staggering 480,000.
Data from the slide titled Best Guss Epidemiology shows SARS-CoV-2 has an Rο of 2.5 and doubles every 7-10 days.
The slide also projects 96 million U.S. infections in the next two months.
H/T: @AmeriforceJ on Twitter
Read over 120 bombshell coronavirus reports and learn about the upcoming lockdowns, martial law, in America at Intellihub.com.
",2020-03-07T07:20:45+00:00,https://www.intellihub.com/leaked-american-hospital-association-webinar-slide-reveals-officials-expect-480000-u-s-coronavirus-deaths/
FEMA prepares for complete and total takeover of society and infrastructure...,"(INTELLIHUB) — It is mainstream news that the Federal Emergency Management Agency has been preparing for President Donald Trump’s imminent declaration of a coronavirus state of emergency as SARS-CoV-2 continues to infect more and more people along the West Coast and other areas of the Continental United States (CONUS) with the highly contagious and deadly disease termed COVID-19 which tends to act nothing like the common flu as officials are claiming.
FEMA plans to act in the event that the president declares a national emergency in what would be an all-out attempt to mitigate and contain and contain the spread of the coronavirus.
What will happen if the president declares a national ’emergency’ due to the coronavirus?
If President Donald Trump were to declare a national emergency due to the coronavirus it will put FEMA, referred to as “the secret government” by some, at the helm of the country and will essentially suspend the U.S. constitution altogether under enacted executive orders.
Several Executive Orders that would suspend the U.S. Constitution are as follows, via dmc.members.sonic.net:
EXECUTIVE ORDER 10990 allows the government to take over all modes of transportation and control of highways and seaports.
EXECUTIVE ORDER 10995 allows the government to seize and control the communication media.
EXECUTIVE ORDER 10997 allows the government to take over all electrical power, gas, petroleum, fuels and minerals.
EXECUTIVE ORDER 10998 allows the government to take over all food resources and farms.
EXECUTIVE ORDER 11000 allows the government to mobilize civilians into work brigades under government supervision.
EXECUTIVE ORDER 11001 allows the government to take over all health, education and welfare functions.
EXECUTIVE ORDER 11002 designates the Postmaster General to operate a national registration of all persons.
EXECUTIVE ORDER 11003 allows the government to take over all airports and aircraft, including commercial aircraft.
EXECUTIVE ORDER 11004 allows the Housing and Finance Authority to relocate communities, build new housing with public funds, designate areas to be abandoned, and establish new locations for populations.
EXECUTIVE ORDER 11005 allows the government to take over railroads, inland waterways and public storage facilities.
EXECUTIVE ORDER 11051 specifies the responsibility of the Office of Emergency Planning and gives authorization to put all Executive Orders into effect in times of increased international tensions and economic or financial crisis.
EXECUTIVE ORDER 11310 grants authority to the Department of Justice to enforce the plans set out in Executive Orders, to institute industrial support, to establish judicial and legislative liaison, to control all aliens, to operate penal and correctional institutions, and to advise and assist the President.
EXECUTIVE ORDER 11049 assigns emergency preparedness function to federal departments and agencies, consolidating 21 operative Executive Orders issued over a fifteen year period.
EXECUTIVE ORDER 11921 allows the Federal Emergency Preparedness Agency to develop plans to establish control over the mechanisms of production and distribution, of energy sources, wages, salaries, credit and the flow of money in U.S. financial institution in any undefined national emergency. It also provides that when a state of emergency is declared by the President, Congress cannot review the action for six months.
Do you still think “it’s just the flu?”
",2020-03-05T09:22:48+00:00,https://www.intellihub.com/fema-prepares-for-complete-and-total-takeover-of-society-and-infrastructure-once-coronavirus-emergency-declared/
"U.S. banks brace for coronavirus crisis, ready disaster plans","(INTELLIHUB) — Major U.S. banks have started to test and implement disaster protocols as an imminent crash due to the coronavirus outbreak is looking more likely by the day.
From Yahoo! News:
JPMorgan Chase, Morgan Stanley, Goldman Sachs and Citigroup have asked hundreds of workers to work from home as part of emergency preparedness.
“We are asking some employees to work from home over the next two weeks just so we can test systems and remote access,” said one person familiar with the process, characterizing the step as “typical contingency stuff.”
JPMorgan has undertaken tests at a disaster recovery site in London and two in the United States, in Brooklyn and the state of New Jersey, a source told AFP.
The storm is coming.",2020-03-05T07:56:07+00:00,https://www.intellihub.com/u-s-banks-brace-for-coronavirus-crisis-ready-disaster-plans/
Major CDC coverup underway to suppress actual coronavirus numbers in U.S.,"ATLANTA (INTELLIHUB) — The CDC and other government agencies under national security orders from the Pentagon have been instructed to actively suppress the total number of confirmed U.S. coronavirus cases in a valiant attempt to avoid public panic at all costs.
In many cases, travelers returning to the U.S. from coronavirus-stricken regions of the world who fell ill with symptoms and did the right thing by reporting them were told by authorities that they will not be tested for coronavirus and were told to return to daily life as normal.
A screenshot from a recent Twitter post reveals the grim details.

Continued…
A Seattle woman confirms the same thing…
I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis. 
Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.
— sketchy lady (@into_the_brush) March 3, 2020

Twitter user @into_the_brush recalls the tragedy…
I called the Corona hotline, was on hold for 40 minutes and gave up,” she explains in the Tweet’s comment section. “So I looked at the CDC and Washington public health websites. They told me to see a primary care doctor, but there’s no information about testing.”
I called 2 primary care doctors. One told me they don’t know where to get testing, and that I should not to seek out testing. The other one told me to go to an urgent care or ER.
I called the Urgent Care, they also had no idea where tests are, but told me to call the hospital.
I called the hospital. They do not have tests, but transferred me to the COVID-19 hotline to “answer my questions”. Since I was transferred on a medical provider line, I actually got through. Progress!
The lady with the hotline was very kind and professional and understood my concern about my own health and those at my clinic. (Which is currently being sanitized). However, I was told I do not qualify for testing. And I was not given a timeline or info on current resources.
So. Who does qualify? Those who have been out of the country in the last 14 days, and those who have had contact with one of the few people who have been tested and come up positive. That’s it.
The only way I can get treated is if my symptoms get so bad I develop pneumonia or bronchitis, which is very likely in my case. Then I’ll be in the ER and quarantined for several days while waiting for a test and for the results to come back.
This is all incredibly frustrating because I am trying to do everything right in a system that punishes moments of “weakness” like taking days off. It’s also scary to know that I won’t be able to get help until I need life support.
To sum up: this is not contained. No one knows what the fuck is happening. I can’t work. WASH YOUR FUCKING HANDS.
…
Since this is getting attention. COVID-19 HOTLINE: 1-800-525-0127 DON’T CALL unless you are experiencing all symptoms or have been exposed to a case. Leave the lines open to people who need it most. Any other questions can be answered on the CDC, WHO, or WA public health sites.
Similar cases have been reported by a number of individuals.",2020-03-03T07:57:29+00:00,https://www.intellihub.com/major-cdc-coverup-underway-to-suppress-actual-coronavirus-numbers-in-u-s/
"Greater Tehran Central Penitentiary, with population of 20,000, faces coronavirus crisis,...","TEHRAN, Iran (INTELLIHUB) — A whistleblower from within the Greater Tehran Central Penitentiary claims that the deadly SAR-CoV-2 coronavirus strain has penetrated prison walls putting the population of an estimated 20,000 inmates at risk of contracting the agent.
“I’m making this call from the Great Tehran Prison… coronavirus has entered the prison,” the whistleblower explained on a phone call from the prison. “They have closed the prison clinic. If COVID-19 enters the prison’s wards, the lives of 20,000 prisoners are at risk.”
""I'm making this call from the Great Tehran Prison… Coronavirus has entered the prison. They have closed the prison clinic. If COVID-19 enters the prison's wards, the lives of 20,000 prisoners are at risk,"" the voice says.#Iran#CoronaOutbreak pic.twitter.com/wq6IYbxObe
— Heshmat Alavi (@HeshmatAlavi) March 3, 2020

Stay tuned to Intellihub.com for the most trusted news and updates on #coronavirus.
Please share this report on Facebook and Twitter!",2020-03-03T07:22:49+00:00,https://www.intellihub.com/greater-tehran-central-penitentiary-with-population-of-20000-faces-coronavirus-crisis/
"Store shelves go bare in Seattle area, other parts of Washington...","(INTELLIHUB) — Store shelves have gone bare in Seattle amid the coronavirus outbreak.
Shelves in both Target and QFC on Capitol Hill were left empty after they were pillaged by shoppers.
(Left) pic is Target in downtown Seattle. (Righ)t pic is QFC on Capital Hill Seattle. Cleaning supply and paper towel isles sold out. #CoronaOutbreak #Seattle #CoronaVirusSeattle #Covid_19. #COVID pic.twitter.com/KsNlXLJ2FU
— FE_Trumpster Jason (@XrayJ76) March 3, 2020

This was the scene at the Costco in Lynnwood, just 45 minutes in…
Thanks a lot eyeball news in #Seattle.#CoronaVirusSeattle https://t.co/zpWz4hoQ5c
— mr. pov (@themrpov) March 3, 2020
",2020-03-03T05:56:02+00:00,https://www.intellihub.com/store-shelves-go-bare-in-seattle-area-other-parts-of-washington-state-over-coronavirus-fears/
Botched first response to coronavirus-ridden nursing home got 30 responders quarantined,"KIRKLAND, Wa. (INTELLIHUB) — A key indicator the United States medical system is not ready for the blooming coronavirus outbreak could be seen after authorities dispatched 30 first responders to a nursing facility suspected of being ridden with the highly contagious and deadly SARS-CoV-2 coronavirus.
Two police officers and twenty-seven firefighters have been placed under mandatory quarantine after responding to the Life Care nursing facility in Kirkland where over 50 people have reportedly fallen ill.
Four patients of the nursing home have passed away as of Monday after contracting COVID-19 raising the state’s official death toll from the disease to six.",2020-03-02T19:41:14+00:00,https://www.intellihub.com/botched-first-response-to-coronavirus-ridden-nursing-home-got-30-responders-quarantined/
