title,content,publishedAt,url
Trump declares coronavirus a national emergency,"By Steve Holland and Jeff Mason
WASHINGTON (Reuters) – U.S. President Donald Trump on Friday declared a national emergency over the fast-spreading coronavirus, opening the door to providing what he said was about $50 billion in federal aid to fight the disease.
Trump made the announcement at a Rose Garden news conference.
Trump said he was declaring the national emergency in order to “unleash the full power of the federal government.” He urged every state to set up emergency centers to help fight the virus.
Pressure has been mounting for Trump to declare an infectious disease emergency under the 1988 law that would allow the Federal Emergency Management Agency (FEMA) to provide disaster funds to state and local governments and to deploy support teams. The power is rarely used. Former President Bill Clinton in 2000 declared such an emergency for West Nile virus.
(Reporting by Steve Holland; additional reporting by Lisa Lambert and Susan Heavey, Editing by Franklin Paul and Bill Berkrot)
Related
",2020-03-13T14:56:37+00:00,https://jimbakkershow.com/news/trump-declares-coronavirus-a-national-emergency/
Pentagon says 174 service members have coronavirus,"Pentagon says 174 service members have coronavirusWASHINGTON (Reuters) – The Pentagon said on Tuesday that 174 service members had the coronavirus, an increase of 41 cases from the day before.
In a daily update, the Pentagon added that 59 civilian employees, 61 dependents, and 27 contractors had also tested positive.
(Reporting by Idrees Ali)
Related
",2020-03-24T09:33:27+00:00,https://jimbakkershow.com/news/pentagon-says-174-service-members-have-coronavirus/
Airline crisis worsens as U.S. puts Europeans in coronavirus quarantine,"Reuters
By Laurence Frost and Lisa Baertlein
PARIS/LOS ANGELES (Reuters) – Airlines bore the brunt of a dramatic expansion of the coronavirus crisis on Thursday, as U.S. travel curbs on much of continental Europe deepened the sector’s misery and piled more pressure on governments to offer emergency support.
The 30-day restrictions will badly disrupt transatlantic traffic key to the earnings of major European carriers and their U.S. airline partners, analysts warned, as the move hit travel stocks already battered by the virus outbreak.
Those routes account for 20-30% of large European operators’ revenue and a majority of profit, Credit Suisse analyst Neil Glynn warned, “highlighting the damage to revenue lines for the coming weeks and potentially well into the summer.”
Glynn added: “A ban on travel to the U.S. will likely mean heavier cuts” than the drastic capacity reductions already ordered as airlines scrapped flights – first to China and then to other destinations including Italy as the virus spread.
Shares in European and U.S. airlines slumped in turn to new lows, with Delta <DAL.N> and United Airlines <UAL.O> down more than 13% and American Airlines <AAL.O> 7.2% lower.
Air France-KLM <AIRF.PA> was down 9.1% at 1506 GMT, with British Airways parent IAG <ICAG.L> down 10.7% and Lufthansa <LHAG.DE> 11.5% lower. Troubled Norwegian Air <NWC.OL> and U.S.-dependent Icelandair <ICEAIR.IC> both plunged more than 20%.
The U.S. curbs on travel from the 26-country Schengen Area – which excludes Britain and Ireland – are similar to restrictions on China that took effect on Feb. 1 and do not apply to U.S. residents or their immediate family.
“The ban effectively stops travel from the Schengen Area to the USA,” said Bernstein analyst Daniel Roeska – predicting a “more substantial” earnings impact than European carriers had suffered from the earlier China flight suspensions.
U.S. airlines had already cut flight schedules to Italy and will take another hit from lower demand for flights from major destinations such as France and Germany.
Among them, American Airlines could be relatively spared by its alliance with British Airways (BA) and higher share of UK traffic, while Air France-KLM partner Delta and Lufthansa ally United Airlines are likely to suffer more, analysts say.
U.S. Vice President Mike Pence defended the travel curbs on Thursday, after the European Union complained they had been imposed “unilaterally and without consultation”.
The virus has taken root in the United States after spreading from China to Italy, South Korea, Iran and elsewhere.
‘TOTAL MELTDOWN’
Airlines had already been scrambling to respond to a global travel slump that looks increasingly likely to require government aid to avoid widespread insolvencies. The EU will publish new state-aid guidelines on Friday.
Germany may extend loans and other support to airlines, a government official said on Thursday. The French government also stands ready to help Air France-KLM, Finance Minister Bruno Le Maire said.
“There is a need for measures from many governments,” said Norwegian pilots’ union president Yngve Carlsen. “This could lead to a total meltdown.”
Scandinavian carrier SAS <SAS.ST> is in talks with the Swedish and Danish governments about potential support measures, a company spokeswoman said.
EU airlines have seized on the crisis to push back on green taxes designed to help the bloc meet climate goals – including proposals to end current tax exemptions on jet fuel.
“New fiscal burdens should be postponed until the industry is back on a sound operational and financial footing,” lobby group Airlines for Europe said.
CRITICAL TIME
The latest travel clampdown could make coronavirus worse than previous aviation crises including the 9/11 attacks of 2001, UK-based consultant John Strickland said.
“It’s coming at the end of the northern hemisphere winter, which is a weak period for airline finances (when) they should be sowing seeds of a strong summer season by getting the bookings in,” he said.
Air France-KLM and Lufthansa said they were still studying the implications of the U.S. move for flight schedules. IAG is potentially less impacted thanks to BA’s Heathrow base.
There were panicky European airport scenes as travelers scrambled to fly to the United States before the restrictions take effect late on March 13.
The fallout is also spreading fast from travel and tourism to aerospace and other industries.
Safran <SAF.PA>, the world’s third-biggest aerospace group, sees a growing threat to aircraft and engine order books, Chief Executive Philippe Petitcolin said on Thursday, adding more cost cuts were now being drawn up.
ADP <ADP.PA> declined to comment on a report it was preparing to close Terminal 3 at Roissy Charles de Gaulle, the French capital’s main aviation hub. Norway may close several airports, operator Avinor said.
Italy announced the partial closure of Rome’s main airports to commercial aviation in response to its own travel lockdown. Near-empty airports in Milan and elsewhere may follow, a government source told Reuters.
(GRAPHIC: European airlines crater – https://fingfx.thomsonreuters.com/gfx/mkt/13/3299/3260/airlines.png)
The travel curbs will also decimate European tourists’ spending in the United States. In March 2019, European visitors accounted for 29% of arrivals and $3.4 billion in spending, the U.S. Travel Association said.
“Temporarily shutting off travel from Europe is going to exacerbate the already-heavy impact of coronavirus on the travel industry and the 15.7 million Americans whose jobs depend on travel,” U.S. Travel Association President Roger Dow said.
(Reporting by Lisa Baertlein in Los Angeles, Laurence Frost in Paris and David Shepardson in Washington; Additional reporting by Sarah Young in London, Jamie Freed in Sydney, Toby Sterling in Amsterdam, Victoria Klesty in Oslo, Anna Ringstrom in Stockholm, Sayantani Ghosh in Singapore, Tracy Rucinski in Chicago and Andrea Shalal in Washington; Editing by Kenneth Maxwell, Tim Hepher and Mark Potter)
Related
",2020-03-12T13:24:41+00:00,https://jimbakkershow.com/news/airline-crisis-worsens-as-u-s-puts-europeans-in-coronavirus-quarantine/
China to Russia: End discriminatory coronavirus measures against Chinese,"By Gabrielle Tétrault-Farber
MOSCOW (Reuters) – China’s embassy in Russia has demanded authorities in Moscow end what it said are discriminatory anti-coronavirus measures against Chinese nationals, saying they are damaging relations and alarming Chinese residents of the Russian capital.
The complaint, detailed in an embassy letter to the city’s authorities and published by Russian newspaper Novaya Gazeta late on Tuesday, deplored what it called “ubiquitous monitoring” of Chinese nationals, including on public transport in Moscow.
Russia, which enjoys strong political and military ties with Beijing, does not currently have any confirmed cases of coronavirus, but has temporarily barred many categories of Chinese nationals from entering the country.
Authorities in Moscow have also been carrying out raids on potential carriers of the virus – individuals at their homes or hotels – and using facial recognition technology to enforce quarantine measures.
The Chinese embassy letter followed unconfirmed local media reports that Mosgortrans, which runs Moscow’s vast bus, trolleybus and tram networks, had told drivers to try to identify Chinese passengers and inform police of their presence.
“The special monitoring of Chinese nationals on Moscow’s public transportation does not exist in any country, even in the United States and in Western states,” the Chinese Embassy letter, dated Feb. 24, read.
“Given an improvement in the epidemiological situation in China, Moscow residents and Chinese people living in Moscow will be worried and won’t understand, and it will harm the good atmosphere for developing Chinese-Russian relations.”
The embassy said it was asking Moscow authorities to refrain from taking what it called excessive measures and to embrace “proportionate and non-discriminatory measures” instead.
The Kremlin said it was unaware of the embassy letter, but that Moscow valued its relations with Beijing and there should be no discriminatory measures against Chinese nationals.
Russia’s Foreign Ministry, the Moscow city government and a representative of the Chinese Embassy did not immediately respond to requests for comment.
Taiwan’s Foreign Ministry said this week that four Taiwanese visiting Moscow were picked up by police and health officials for wearing masks and being mistaken for Chinese, and were forcibly quarantined.
Global Times, published by the official People’s Daily newspaper of China’s ruling Communist Party, reported that 23 tourists from Hong Kong had been put into quarantine for two weeks after they were spotted by Moscow police.
Russia has had two confirmed cases of coronavirus so far. Both were Chinese nationals who have since recovered and been released from hospital.
Asia reported hundreds of new cases on Wednesday, including the first U.S. soldier to be infected, as the United States warned of an inevitable pandemic, and outbreaks in Italy and Iran spread to more countries.
(Reporting by Gabrielle Tétrault-Farber; additional reporting by Tom Balmforth in Moscow, Ben Blanchard in Taipei and Hallie Gu in Beijing; Editing by Andrew Osborn and Mark Heinrich)
Related
",2020-02-26T08:31:28+00:00,https://jimbakkershow.com/news/china-to-russia-end-discriminatory-coronavirus-measures-against-chinese/
An Important Travel Notice From The Jim Bakker Show,"Dear Morningside Partners,
In response to the current outbreak of  COVID-19, we are providing this information in an effort to communicate with our partners and viewers as to where we currently stand with our worldwide distribution of The Jim Bakker Show. The world health community continues to monitor closely the emergence of the “coronavirus disease 2019” (COVID-19). At this time, no one knows how severe this outbreak will be. Given this uncertainty, and the fact that the seasonal influenza (flu) virus is also widespread, we are taking proactive steps to address a number of business concerns. First and foremost, we have begun taking steps in protecting the health of employees, residents, partners and visitors.
As it relates to travel, the health department is advising to be especially cautious in making travel decisions and to follow the latest guidance provided by the Centers for Disease Control and Prevention (CDC).
After considering the counsel of U.S. government officials and medical leaders, along with our own prayer and discernment, we will postpone public gatherings at Morningside USA until further notice.
The Jim Bakker Show recordings will continue as per our regular taping schedule. However, the tapings will be closed to the public during this time. We are taking the necessary safety measures to minimize exposure for Morningside USA residents, partners, and staff.
You can still continue to watch the Jim Bakker Show on the PTL Network app for your mobile devices, and on the PTL Network on Roku, Apple TV and Amazon Fire. 
Please join with us as we continue to pray for the health and safety of our partners, staff, and our ministry. It’s vital to our community, both here at Morningside USA and our partners, that we pray over each other and agree that “Surely he shall deliver us from the snare of the fowler, and from the noisome pestilence. He shall cover us with his feathers, and under his wings shalt [we] trust: his truth shall be thy shield and buckler. Psalm 91:3-4 KJV
Thank you for your prayers and encouragement! We love you and appreciate your support and friendship! 
Related
",2020-03-13T18:04:51+00:00,https://jimbakkershow.com/news/an-important-travel-notice-from-the-jim-bakker-show/
"Robbers grab 100,000 surgical masks at gunpoint as Ukraine enters shutdown","By Matthias Williams and Pavel Polityuk
KIEV (Reuters) – Ukrainian shops, restaurants and transport shut down on Tuesday as the country tightened restrictions to contain the spread of the coronavirus, while police arrested five people suspected of trying to rob 100,000 surgical masks at gunpoint in Kiev.
The country has seven confirmed cases of the coronavirus so far, including one death. The government has encouraged people to stay at home wherever possible except to buy food and medicine, but has stopped short of introducing curfews.
Following a series of emergency steps introduced by President Volodymyr Zelenskiy, parliament in a special session on Tuesday approved measures including fines and prison sentences for people who broke mandatory quarantine.
The economic fallout from the epidemic also continued to bite as the hryvnia currency slipped to 27 to the dollar for the first time since June 2019.
The central bank said it would not impose foreign currency restrictions and added it had $25 billion in reserves to continue market interventions.
Nevertheless it warned of an economic hit on Ukraine, which is still fighting a simmering conflict against Russian-backed forces in the eastern Donbass region that has killed more than 13,000 people since 2014.
In Lviv, a picturesque city of cobblestone streets in western Ukraine that is popular with tourists, restaurants and cafes closed and supermarket attendants wore masks and gloves while working at the tills.
“Of course, no one is happy about the restaurant shutdown,” said Mark Zarhin, the owner of a restaurant chain.
“It is like a perfect storm in Lviv. We face both ‘plague’ and war today. It is the worst. But it’s not the fact that we close the restaurants that is bad, but the fact that we don’t know for how long. We cannot predict anything.”
The nationwide shutdown will include the closure of the Chernobyl area, the site of the world’s worst nuclear disaster in April 1986 that has since become a visitor attraction.
Kiev’s main airport was mostly empty after the government banned passenger flights to and from the country, and announced a shutdown of domestic air travel from Wednesday.
The authorities also announced the arrest of a group of people who, initially posing as members of the state security service, stole a stash of 100,000 surgical masks at gunpoint from a private seller who had stored them in his car.
“Instead of negotiating the purchase and sale conditions, the criminals attacked (the seller), took the masks and beat the man,” Kiev police chief Andriy Kryshchenko said. “Wearing police uniforms and threatening to use firearms, the criminals took possession of the whole batch of goods.”
(Additional reporting by Sergiy Karazy; Editing by Alexandra Hudson)
Related
",2020-03-17T12:53:30+00:00,https://jimbakkershow.com/news/robbers-grab-100000-surgical-masks-at-gunpoint-as-ukraine-enters-shutdown/
‘Perfect Storm’: Washington virus deaths highlight risk at nursing homes,"By Laila Kearney and Maria Caspani
NEW YORK (Reuters) – Less than a year after Constantine Valhouli moved his 85-year-old father into a Massachusetts elder-care facility, he is considering bringing his dad back home, his confidence rattled by a deadly coronavirus outbreak at a Washington state nursing home.
The deaths of four residents at the LifeCare long-term care facility in Kirkland has stoked Valhouli’s fears that the virus could spread quickly and quietly in facilities such as the home where his father resides after a series of strokes.
“You’ve got this perfect storm of conditions – the density of residents, the age of residents and the health concerns,” said Valhouli, a Boston resident who works in real estate analytics. “The terrifying part of it is that you can worry about it from a distance, but the minute you’ve got a case, it’s almost too late.”
Virus outbreaks are especially problematic in nursing homes because residents live in close quarters, so infections can spread easily. Older residents also tend to have weaker immune systems and underlying health conditions, making illnesses easier to catch and more dangerous if contracted.
As COVID-19 cases begin to spread across the United States, the Washington deaths have highlighted the vulnerability of older people in general. The elderly are considered the most at risk of dying from the virus, with deaths in China disproportionately affecting people over the age of 80.
“One thing that is clear is that nursing homes and hospitals are potentially at greater risk, and we are really going to have to think hard about what can be done to protect them,” Tom Frieden, a former director of the Centers for Disease Control and Prevention, told a media briefing on Monday.
If the outbreak spreads, Frieden said, U.S. officials might have to consider new steps to protect the more than 1.3 million Americans in nursing homes, such as curtailing visits to reduce the risk of introducing the virus to them.
At LifeCare in Kirkland, a resident in his 70s died over the weekend after contracting coronavirus, becoming the fourth person at the facility to have passed away from the virus as of Monday. Another 27 residents and 25 staff members were reporting symptoms, which can be similar to that of the common flu.
To be sure, the outbreak is not widespread in the United States so far, with only about 100 people across the country testing positive for the virus as of Sunday and six deaths. That compares with more than 87,000 cases worldwide and nearly 3,000 deaths in 60 countries, the World Health Organization said.
Even so, some senior living facilities have already started taking steps to limit their residents’ exposure to the virus.
Era Living, which manages eight independent and assisted living communities in the Seattle area, has begun restricting visitors, the group said on its website.
For now, facilities are working to prevent COVID-19 infections in similar ways that they guard against the flu, David Gifford, chief medical officer for the Agency For Health Care Administration, a non-profit federation of about 13,500 nursing homes and other care facilities, said on a conference call.
One essential weapon that nursing homes have against the flu is not available for coronavirus.
“There is no vaccine for coronavirus, and we know that when we have flu outbreaks, they are just huge. They just sweep through an entire nursing home,” Frieden said.
Keeping the virus away from nursing homes and other facilities with vulnerable residents will likely take restrictions on who can enter the buildings, with no sick people allowed inside, said Frieden. In the meantime, he said more outbreaks similar to the one in Washington are likely.
“This is a sentinel event. We are going to see this elsewhere,” he said.
(Additional reporting by Nathan Layne; Editing by Frank McGurty and Richard Pullin)
Related
",2020-03-03T10:18:24+00:00,https://jimbakkershow.com/news/perfect-storm-washington-virus-deaths-highlight-risk-at-nursing-homes/
Man in Germany contracts coronavirus in one of first cases of transmission outside China,"By Michelle Martin
BERLIN (Reuters) – Germany has declared its first confirmed case of the coronavirus after a 33-year-old man contracted it from a colleague visiting his workplace from Shanghai, in one of the first cases of person-to-person transmission outside China.
The case raises concerns about the spread of the flu-like virus that broke out in the central Chinese city of Wuhan at the end of last year and has killed 106 people and infected more than 2,800 people.
It spreads in droplets from coughs and sneezes and has an incubation period of 1-14 days.
Bavaria’s health ministry said late on Monday that a man in the southern German state was suffering from the virus and was in “good condition” while isolated under medical observation.
German car parts supplier Webasto [WEBA.UL] on Tuesday said an employee at its headquarters in Stockdorf, Bavaria, had become infected following the visit of an employee from China.
A day earlier it said an employee from Shanghai tested positive for the virus upon returning to China.
Confirmation of any sustained human-to-human spread of the virus outside of China, as well as any documented deaths, would bolster the case for reconvening the World Health Organization’s Emergency Committee to consider again whether to declare a public health emergency of international concern.
The independent panel last week twice declined to declare an international emergency.
In response to the episode, Germany plans to require travelers arriving from China to provide airlines with contact details, including where they are staying while in the country, Health Minister Jens Spahn said on Tuesday.
The step will ensure the authorities can get in touch with people who may have come into contact with infected people. Airlines will need to keep the details for 30 days, he said.
Outside of China there have now been 45 confirmed cases in 13 countries, with no deaths so far, the WHO’s spokesman Christian Lindmeier told a briefing in Geneva on Tuesday.
The WHO said a case in Vietnam involved human-to-human transmission outside China and a Japanese official has said there was a suspected case of human-to-human transmission there too.
Andreas Zapf, president of Bavaria’s office for health and food safety, said on Tuesday the person infected was 33 years old, lived in the district of Landsberg about 50 kilometers (31 miles) west of Munich and had come into contact with a Chinese woman on Jan 21.
WUHAN CONNECTION
Zapf said the Chinese woman was from Shanghai but her parents, who are from the Wuhan region, had visited her a few days earlier.
He added that she had arrived in Germany on Jan. 19, appearing not to have any symptoms, but began to feel ill on her flight home on Jan. 23. She sought medical treatment after landing and tested positive for coronavirus.
When that information was relayed back to the German company, a male employee said he felt like he had flu over the weekend and was on Monday advised to get medical treatment.
The head doctor at the clinic where the man is being treated told a news conference the patient was awake and responsive and he did not think the man’s life was at risk.
Martin Hoch, the head of an infectiology taskforce, said the man had been in close contact with at least 40 colleagues and family members, adding that number could rise.
Bavaria’s health ministry said people who had been in contact with the man had been informed of possible symptoms, hygiene measures and transmission channels.
Germany’s Spahn said the risk to people’s health in Germany from the coronavirus remained low.
(Reporting by Michelle Martin in Berlin; Additional reporting by Madeline Chambers in Berlin, Alexander Huebner in Munich, Kanishka Singh in Bengaluru and Kenneth Maxwell in Tokyo; Editing by Alexandra Hudson)
Related
",2020-01-28T11:43:18+00:00,https://jimbakkershow.com/news/man-in-germany-contracts-coronavirus-in-one-of-first-cases-of-transmission-outside-china/
‘Every scenario on the table’ in China virus outbreak: WHO’s Tedros,"By Stephanie Nebehay
GENEVA (Reuters) – The latest data provided by China on people infected with coronavirus indicates a decline in new cases but “every scenario is still on the table” in terms of the epidemic’s evolution, the World Health Organization said on Monday.
Tedros Adhanom Ghebreyesus, WHO director-general, said that a published Chinese paper on more than 44,000 confirmed cases provided insight into the age range of infected people, disease severity and mortality rates.
“The data also appear to show a decline in new cases,” he told reporters. “This trend must be interpreted very cautiously. Trends can change as new populations are affected.
“It’s too early to tell if this reported decline will continue. Every scenario is still on the table,” he said.
China had reported 70,635 cases of COVID-19, including 1,772 deaths, Tedros said. In the past 24 hours, China had reported 2,051 new cases, including both lab-confirmed results and cases based on clinical observation, usually a chest scan.
Fewer than 700 cases had been reported by 25 other countries, he said.
People wear face masks as a protection from coronavirus in the main shopping area, in downtown Shanghai, China February 17, 2020. REUTERS/Aly Song
Dr. Mike Ryan, head of WHO’s emergencies program, said: “The real issue is whether we are seeing efficient community transmission outside of China and at the present time we are not observing that.”
Referring to China, he said the virus was attacking about out four of every 100,000 people, even within its epicenter in Wuhan city and surrounding Hubei province.
“This is a very serious outbreak and it has the potential to grow. But we need to balance that in terms of the number of people affected. Outside Hubei, this epidemic is affecting a very tiny, tiny, tiny proportion of people,” Ryan said.
“So if we are going to disrupt every cruise ship in the world on the off-chance that there may be some potential contact with some potential pathogen, then where do we stop? We shut down the buses around the world?”
There was no such thing as zero risk, Ryan said, calling for basing decisions on cruise ships and meetings on solid evidence.
Tedros added: “Measures should be taken proportionate to the situation, based on public health science and evidence. And blanket measures may not help.”
The quarantined cruise ship Diamond Princess, with 3,700 passengers total, held by far the largest cluster of cases outside China with more than 400 people testing positive.
Dr. Sylvie Briand, WHO director of global infectious hazard preparedness, said the agency was working closely with Japanese authorities and the chief medical officer on the vessel docked off Yokohama on infections and evacuations.
“Our focus is on our public health objective that we contain the virus and not contain the people,” she said.
(Reporting by Stephanie Nebehay; Editing by Mark Heinrich and Nick Macfie)
Related
",2020-02-17T14:19:35+00:00,https://jimbakkershow.com/news/every-scenario-on-the-table-in-china-virus-outbreak-whos-tedros/
WHO Calls MERS “A Global Threat”,"Revelation 6:7,8 NCV When the Lamb opened the fourth seal, I heard the voice of the fourth living creature say, ""Come!""8 I looked, and there before me was a pale horse. Its rider was named death, and Hades was following close behind him. They were given power over a fourth of the earth to kill people by war, by starvation, by disease, and by the wild animals of the earth.
After months of downplaying the infectiousness of the new SARS-like virus first found in Saudi Arabia, now called MERS or Middle East Respiratory Syndrome, the director-general of the World Health Organization is calling the virus a global threat.
“Looking at the overall global situation, my greatest concern right now is the novel coronavirus. We understand too little about this virus when viewed against the magnitude of its potential threat. Any new disease that is emerging faster than our understanding is never under control,” Dr. Margaret Chan told the 66th World Health Assembly in Geneva.
“The novel coronavirus is not a problem that any single affected country can keep to itself or manage all by itself. The novel coronavirus is a threat to the entire world.”
Of 44 confirmed confirmed victims worldwide, 24 have died.
The WHO is telling member states to be on alert for any unexplained cases of acute respiratory illnesses and to immediately report them to the world body.
Related
",2013-05-30T08:35:37+00:00,https://jimbakkershow.com/news/who-calls-mers-a-global-threat/
