title,content,publishedAt,url
Doctor: White House has my '100% successful' coronavirus treatment,"Dr. Vladimir Zelenko (Facebook)
A recent survivor of an extremely rare cancer with a ""100% mortality rate"" that took one of his lungs, Dr. Vladimir Zelenko says he shouldn't be alive.
Advertisement - story continues below
But now, a simple cocktail of three cheap, proven, widely available drugs his medical team has used to successfully treat at least 500 patients with the coronavirus is offering hope as the pandemic grows exponentially in his area of greater New York City.
The treatment now has the attention of the White House and Israel's Ministry of Health, among others, Zelenko told WND in a phone interview Wednesday morning.
""I was actually wondering why God spared me,"" said Zelenko, who noted he hasn't slept in the past four days.

TRENDING: 2 Fox stars gave Donna Brazile lesson in manners after outrageous 'Go to hell' comment

It's an out-patient treatment combining the common anti-malarial drug hydroxychloroquine with the popular antibotic azithromycin (known as Z-Pak) and zinc sulfate.
Rep. Mark Meadows, R-N.C.
Advertisement - story continues below
Zelenko, 46, told WND he is in direct communication with Mark Meadows, the North Carolina congressman who has been tapped by President Trump to become the next White House chief of staff.
""I don't know if the president saw [the protocols], but they were presented to whoever they needed to be presented to,"" he said.
""I know for a fact that my protocols are now at the Ministry of Health in Israel and that the government is considering adopting them.""
On Tuesday, Vice President Mike Pence announced that the FDA has approved the use of hydroxychloroquine experimentally for any coronavirus patient while clinical trials commence.
In a video widely distributed Tuesday on social media, Zelenko said he treated 350 patients for COVID-19 with 100% success. Since then, among an even higher sample, one person he treated has been hospitalized, he told WND.
Advertisement - story continues below
""So, it's not 100%,"" he said, ""but nothing in life is 100%.""
""I'm not claiming any miracles here,"" Zelenko said. ""All I did was take established remedies and modify the dosage slightly, based on data from studies in France and the Far East.""
'We need to treat the world'
A once-irreligious Jew from Russia, Zelenko is now an observant member of the 30,000-strong Hasidic community of Kiryas Joel in Monroe, New York, in the Hudson Valley, about 50 miles north of New York City.
Advertisement - story continues below
Zelenko is taking his coronavirus treatment himself as a prophylatic as he directs his medical team from quarantine at home because of his lung loss and ongoing oral cancer treatment.
But their target is any patient with shortness of breath or other symptoms that put them in the high-risk category in which the mortality rate is 6% to 10%.
The key, he said, is when to use the treatment.
""It's the combination of these three drugs given earlier rather than later seems to make a significant difference,"" he said.
Advertisement - story continues below
Zelenko explained that there are two different diseases, the COVID-19 infection and the catastrophic lung injury, called acute respiratory distress syndrome, or ARDS.
ARDS is the affliction requiring the use of hospital beds and ventilators, which has become a hot political issue because of the severe lack of supply.
His protocol won't treat ARDS, but it can keep people from ever developing it.
""I believe it lowers the viral load and decreases the amount of virus that the immune system needs to deal with,"" he said. ""It gives it time to overcome the development of the infection prior to development of ARDS or lung injury.""
Advertisement - story continues below
Zelenko said the results are ""remarkable.""
""I'm seeing respiratory symptoms resolve as fast as four hours. That's not the norm,"" he said. ""It takes 12 hours on average, in my experience.
""But I've seen remarkable results, and I have now colleagues who are implementing this as well and they are reporting the same anecdotal data.""
The colleagues include Dr. William Grace of the hematology and oncology department at Lenox Hill Hospital in New York City.
Advertisement - story continues below
""He is in complete agreement with my protocols, and he also describes significant improvement anecdotally,"" Zelenko said.
Another is Dr. Rosy Joseph, a nephrologist in Hackensack, New Jersey, who says she is using the protocols with success.
""These drugs are well known, they're old,"" Zelenko said. ""We know their side-effect protocols, which is relatively low. And they're cheap.
""That's very important, because we need to treat the world,"" he emphasized.
Advertisement - story continues below
""They're developing these fancy treatments, but they're going to cost $10,000 a pop,"" he said. ""It's not going to work.""
His treatment, he said, is ""just repurposing old drugs in the right combination in an outpatient setting.""
""I think that's the solution to this problem,"" he told WND. ""We need more ventilators, but the key is to reduce the patients that need ventilators.""
Dr. Anthony Fauci, a member of the White House Coronavirus Task Force, was asked in an interview Tuesday with Philadelphia AM 990's The Answer whether or not he would prescribe chlorquine as a treatment for the coronavirus.
Advertisement - story continues below
""Yeah, of course, particularly if people have no other option. You want to give them hope,"" said Fauci, the director the National Institute of Allergy and Infectious Diseases. ""In fact, for physicians in this country, these drugs are approved drugs for other reasons. They're anti-malaria drugs and they're drugs against certain autoimmune diseases, like lupus.""
Virus killer
Zelenko pointed to a study in South Korea that found success in the combination of zinc and hydroxychloroquine.
Zinc is a virus killer, but the replication of the virus prevents it from getting into the cell.
Advertisement - story continues below
""Hydroxychloroquine opens the door and lets the zinc in,"" he explained. ""The zinc goes inside the cell and wreaks havoc on the virus.""
Meanwhile, a study from France showed success combining hydroxychloroquine with azithromycin.
""I'm not sure why that works,"" Zelenko said. ""I postulate it prevents secondary bacterial infection. When someone is overwhelmed with a virus, they become more susceptible to opportunistic infections. I suspect that with the antibiotic on board, it minimizes the risk of complications.
""So, I figure, let's combine the three of them together,"" he said. ""Z-Pak is so common, everyone knows about it.""
Advertisement - story continues below
Hydroxychloroquine is less known, but it's used for malaria and in rheumatology to treat diseases such as lupus or rheumatoid arthritis.
""I've had experience with it, so it's a very comfortable drug to use,"" Zelenko told WND.
He said there is a slight risk of a heart arrhythmia issue, ""but everything in life is risk versus benefit analysis.""
""I don't treat healthy young people with no shortness of breath, because they are going to get better,"" he said. ""So why would I take the risk?
Advertisement - story continues below
""But if someone has a 6 to 10% chance of dying, you'd better believe I'm going to give it to them.""
'A foot and a half in the grave'
WND asked Zelenko how the whirlwind of the last 48 hours has affected him personally.
""I'll give you an honest answer,"" he said. ""Two years ago, I was diagnosed with pulmonary artery sarcoma. It has a 100% mortality rate. I ended up having open heart surgery and lost my right lung. I went on very difficult chemo. And I'm still on oral chemotherapy.
Advertisement - story continues below
""The fact that I'm alive is statistically improbable,"" he said. ""There are only about 10 cases in the world a year of what I had, and they all ended with an autopsy.
""The reason I'm telling you this is that public accolades mean nothing to me. After you have a foot and a half in the grave, and then you're spared ... I was actually wondering why God spared me.""
Zelenko noted he's the father of eight children who treats a community of more than 30,000 people.
""My purpose in life has really become to try to relieve pain and suffering. Not to think about myself,"" he said. ""I haven't slept in like four days and try to help as many people as I can.""
Advertisement - story continues below
But he does ""have skin in the game.""
""I do want to live, and if I get this infection, it's not so good for me,"" he said. ""I only have one lung. I have children, I have parents. It's also personal.""

","March 25, 2020 at 1:40pm",https://www.wnd.com/2020/03/doctor-white-house-100-successful-coronavirus-treatment/
WAPO: Trump furious after officials let Americans with coronavirus return to U.S. from Japan,"(CNN) President Donald Trump became enraged with senior advisers this week when 14 Americans who tested positive for the coronavirus were brought back to the US from Japan after he had been told they would remain quarantined overseas, administration officials told The Washington Post.

The President was first told that Americans who were aboard the Diamond Princess cruise ship, where the coronavirus has spread, would be flown back to the US on two planes but that patients with the infection or with symptoms would stay in Japan, where the ship is anchored, the newspaper reported.

Advertisement - story continues below
However, the State Department and a US health official decided to bring back the infected Americans on the planes and place them in isolation without telling the President, the Post said.

Read the full story ›
","February 22, 2020 at 6:17pm",https://www.wnd.com/2020/02/wapo-trump-furious-officials-let-americans-coronavirus-return-u-s-japan/
"France bans gatherings of more than 5,000 due to coronavirus","(REUTERS) The French government on Saturday put a temporary ban on public gatherings with more than 5,000 people due to the coronavirus outbreak, as France reported 16 new cases.

Health Minister Olivier Veran said after a special cabinet meeting that the number of confirmed cases had risen to 73. Of those, two have died, 59 are in hospital, and 12 have recovered.

Advertisement - story continues below
The move comes after Switzerland on Friday banned events expected to draw more than 1,000 people in a bid to curb the spread of the disease.
Read the full story ›
","February 29, 2020 at 5:19pm",https://www.wnd.com/2020/02/france-bans-gatherings-5000-due-coronavirus/
Dr. Drew blasts media for looking to 'fan the flames of panic' with coronavirus coverage,"TV personality Dr. Drew Pinsky told Fox News he thinks the establishment media are intentionally inciting fear over the spread of the coronavirus from China.
Pinsky appeared on “Fox & Friends” Friday morning to discuss the potentially deadly infectious disease.
Advertisement - story continues below
Dr. Drew told co-hosts Steve Doocy, Jedediah Bila and Pete Hegseth he thinks the establishment media are going to “great lengths” to stigmatize the virus and manipulate viewers into becoming fearful.
“The media continues to take every effort to fan the flames of panic,” the practicing physician said.
""A local news agency in Los Angeles had ... footage of a paramedic being dispatched to a cruise ship repeatedly all evening,” he said.

TRENDING: 2 Fox stars gave Donna Brazile lesson in manners after outrageous 'Go to hell' comment

""At the end, they go, 'Oh, by the way, there was a fight on a cruise ship. Somebody got injured,'"" Pinsky said.
According to Pinsky, people should be prepared to deal with the infection but “the panic is far worse than the virus.”
Advertisement - story continues below
""Let the professionals whose job it is to contain pandemic do their job,"" he said.
Pinsky praised global health authorities for doing “an amazing job” in dealing with coronavirus response.
“Worldwide, the efforts and effect of the organizations like the [Centers for Disease Control and Prevention] and the World Health Organization has been remarkable,” he said.
""Look, the WHO has said there's about a 3 percent fatality rate on this virus, and every time they say that they always qualify it and say, 'We expect it to drop a lot once we understand the full extent of the virus,'” Pinsky continued.
Advertisement - story continues below
The coronavirus is “amongst us,” he said, adding, “This is a flu season, everybody. There are 18,000 deaths from the flu.
""Why aren't we worried about that? Why isn't the message: Get your flu shot? You're much more likely to die of the flu than the coronavirus.""
While he said the coronavirus is not the flu, he cautioned Fox viewers that they should approach the coronavirus in the same manner in which they would prepare to prevent contracting influenza.
Pinsky advised people to wash their hands, keep disinfectant wipes available and get a flu shot.
Advertisement - story continues below
“Do all the things you're supposed to do in flu season,"" he said.
Pinsky later took questions on Twitter from followers concerned about the virus during a live Periscope broadcast. In the broadcast, Pinsky said establishment journalists should be ""called out"" for their ""irresponsible"" reporting about the virus.
""People are going to lose their jobs and be hurt by this,"" he said of the panic, which is leading many people to stay indoors.
LIVE on #Periscope: #DoseofDrDrew 3-6-20 Taking (probably Coronaviris) questions from New York!https://t.co/iseS8Zp6tP
— Dr Drew (@drdrew) March 6, 2020
Advertisement - story continues below

As of Friday, 101,774 cases of coronavirus have been reported worldwide, and 3,461 people have died. Twelve Americans are among those dead after contracting the virus.
This article appeared originally on The Western Journal.
","March 6, 2020 at 8:33pm",https://www.wnd.com/2020/03/dr-drew-blasts-media-looking-fan-flames-panic-coronavirus-coverage/
"Amazon looks to hire 100,000 new workers amid coronavirus pandemic","As retail stores close or restrict hours as part of the nation's response to the coronavirus outbreak, opportunity knocks for Americans at Amazon.
The online retailer is planning to hire 100,000 more employees to cope with the expected spike in demand as consumers who either will not or cannot go to a store do their shopping online.
Advertisement - story continues below
Amazon Senior Vice President of Worldwide Operations Dave Clark announced the hirings in a Monday blog post.
""As the COVID-19 pandemic continues, Amazon and our network of partners are helping communities around the world in a way that very few can—delivering critical supplies directly to the doorsteps of people who need them,"" he wrote.
""Getting a priority item to your doorstep is vital as communities practice social-distancing, particularly for the elderly and others with underlying health issues. We are seeing a significant increase in demand, which means our labor needs are unprecedented for this time of year.""

TRENDING: 2 Fox stars gave Donna Brazile lesson in manners after outrageous 'Go to hell' comment

According to Clark, Amazon will have both full-time and part-time openings.
""We are opening 100,000 new full and part-time positions across the U.S. in our fulfillment centers and delivery network to meet the surge in demand from people relying on Amazon’s service during this stressful time, particularly those most vulnerable to being out in public,"" he wrote.
Advertisement - story continues below
""We also know many people have been economically impacted as jobs in areas like hospitality, restaurants, and travel are lost or furloughed as part of this crisis. We want those people to know we welcome them on our teams until things return to normal and their past employer is able to bring them back.""
Many Amazon employees will also be getting a raise.
""In the U.S., we will be adding an additional $2 USD per hour worked through April from our current rate of $15/hour or more, depending on the region, £2 per hour in the UK, and approximately €2 per hour in many EU countries. This commitment to increased pay through the end of April represents an investment of over $350 million in increased compensation for hourly employees across the U.S., Europe, and Canada,"" Clark wrote.
The company also announced the creation of a $25-million relief fund to support workers and their families impacted by the outbreak.
Amazon has also increased cleaning at all sites, CNBC reported.
Advertisement - story continues below
The company now requires that employees sanitize and clean work stations and vehicles before and after each shift.
Mark Zandi, chief economist at Moody's Analytics, said millions of American workers will have their jobs impacted by the virus through changes in consumer behavior, according to CNN.
""People are going to be buying less of everything. The stock market is down and wiping out people's nest eggs,"" Zandi said. ""They're worried 'Am I going to get sick? Are my parents going to get sick?' That's a prescription for people going into the bunker and for job losses.""
Zandi said small businesses are likely to face the toughest going.
Advertisement - story continues below
""I think large companies are going to be slower to lay off. They are going to try to get through this,"" he said. ""But a lot of these small businesses don't have the cash to weather the storm. It's not obvious to me how we help them. It's tough for the government to try to get cash and credit to small businesses.""
This article appeared originally on The Western Journal.
","March 16, 2020 at 11:53pm",https://www.wnd.com/2020/03/amazon-seeking-hire-100000-new-workers-amid-coronavirus-pandemic/
Medical professor praises Trump for coronavirus response: 'I've never seen one handled better',"A medical expert is praising the Trump administration for its response to the coronavirus, while slamming the news media for its actions.
“I’ve been handling these emerging contagions for about 20 years now, and I have to tell you, I’ve never seen one handled better,” Dr. Marc Siegel said regarding the actions of President Donald Trump since the coronavirus first emerged as a concern in January.
Advertisement - story continues below
Siegel is a professor of medicine at New York University, a medical correspondent for Fox News, and the author of ""False Alarm: The Truth About the Epidemic of Fear.""
Asked on SiriusXM’s ""Breitbart News Sunday"" about how the news media has handled the outbreak, he said, “They’re certainly not helping because they’re hyping, and the hyping leads to hysteria.""
Siegel said the Trump administration’s coronavirus task force brings together the right people.

TRENDING: 2 Fox stars gave Donna Brazile lesson in manners after outrageous 'Go to hell' comment

“The task force are really top players,” said Siegel, noting the inclusion of Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases. Fauci is “one of the top infectious disease experts in the country,” he noted.
“They’ve been doing exactly what they’re supposed to be doing,” he said, listing actions Trump has called for such as “restricting travel, isolating patients who are sick and, trying to cut down on contact. It’s a very hard thing to do when people are pouring in from all over the world.”
Advertisement - story continues below
CDC Director Dr. Robert Redfield, a virologist, and Dr. Nancy Messonnier, an expert in vaccines who has been sounding the alarm about the virus, are also important members, he said, though he believes the “doom and gloom comment” about the inevitable spread of the virus was uncalled for.
Siegel said that the coronavirus is different from diseases such as SARS or the flu.
“SARS had about a ten percent mortality [rate], but it only affected about 8,000 people. Swine flu had a very, very low mortality for flu, but flu itself really only causes about a point-four percent death rate, and [coronavirus] is about one-point-four percent. So this is killing more than flu, but I want to make a couple of points that will reassure people,"" he said.
“One, at the beginning of an emerging contagion, it always appears more deadly than it actually is. The 1918 flu is an exception, but normally as time goes on, it’s less deadly, and part of that is because you see more immunity appearing, and you also find a lot of milder cases -- or even cases where people don’t get sick at all. You find that as you start to test more people,"" he said.
He also noted that people who were infected but never got sick do not show up in statistics, making the virus seem more deadly than it is.
Advertisement - story continues below
Health officials have tried to put the disease in context.
"" I just want to echo again that the risk is low -- the risk is low. I encourage Americans to go about their life. That includes travel to California, Oregon, and the state of Washington,"" Redfield said Saturday at a media event announcing the first death from the virus in the U.S., according to a White House media pool report
Fauci said that infection is not tantamount to death.
""If you look at the totality of the cases that have been reported, particularly from China, about 75 to 80 percent of them would do really quite well. They would just sort of like a bad flu or a cold. You get anywhere from 15 to 20, 20-some-odd percent who are going to go on to require advanced medical care -- hospitalization, possibly intensive care,"" he said. ""For the most part, the people who get in trouble and ultimately, tragically, would die from this are people who are elderly and/or have underlying conditions: heart disease, chronic lung disease, diabetes, obesity, because of the difficulty in breathing back and forth.
Advertisement - story continues below
""However, every once in a while, you're going to see a one-off, you're going to see a 25-year-old person, who looks otherwise well, that's going to get seriously ill. But the vast majority of the people who get into trouble do have these underlying conditions And that's why it confuses people, because they say, 'Well, you just said that, and then there's a report of a 40-year-old physician from China who died.' That's going to happen,"" he said.
""That happens with influenza. Most of the time, influenza kills people who are advanced age and underlying conditions. But you hear in the media, every once in a while, a college student would get infected and ultimately die. But the majority is in that risk group,"" he said.
This article appeared originally on The Western Journal.
","March 2, 2020 at 2:33pm",https://www.wnd.com/2020/03/medical-professor-praises-trump-admin-coronavirus-response-never-seen-one-handled-better/
5 examples of Biden pushing misinformation about coronavirus,"Joe Biden (CNN video screenshot)
[Editor's note: This story originally was published by the Daily Caller News Foundation.]

Advertisement - story continues below
By Peter Hasson
Daily Caller News Foundation
Former Vice President Joe Biden has repeatedly pushed misinformation about the COVID-19 coronavirus in political attacks against President Donald Trump and his administration.
Biden, the Democratic frontrunner for president, has sought to politically capitalize on the coronavirus pandemic. But on at least five different occasions, Biden and his campaign have spread misinformation about the response to the virus.

TRENDING: 2 Fox stars gave Donna Brazile lesson in manners after outrageous 'Go to hell' comment

Biden falsely said Trump slashed the CDC budget
Biden was dinged by fact-checkers after he falsely accused Trump of cutting the budget for the Centers for Disease Control and Prevention (CDC).
Advertisement - story continues below
“We increased the budget of the CDC. We increased the NIH budget. … He’s wiped all that out. … He cut the funding for the entire effort,” Biden said at the Feb. 26 debate. Former 2020 Democratic candidate Mike Bloomberg made a similarly false accusation during the debate.
“They’re both wrong to say the agencies have seen their money cut,” the AP noted in a fact-check of the comments.
Biden falsely said Trump rejected WHO tests
Biden falsely said that Trump rejected coronavirus tests from the World Health Organization (WHO).
“The World Health Organization offered the testing kits that they have available and to give it to us now. We refused them. We did not want to buy them,” Biden stated during the March 15 Democratic debate. But that wasn’t true.
Advertisement - story continues below
“The WHO never offered to sell test kits to the United States,” PolitiFact said in its fact-check of Biden’s comments.
Biden campaign video falsely said Trump called virus a “hoax”
Biden spread the false claim that Trump referred to the virus as a “hoax” at his Feb. 28 campaign rally in South Carolina.
On March 3, Biden tweeted a video that misleadingly spliced together Trump saying “coronavirus” followed by, “this is their new hoax.”
Advertisement - story continues below
In reality, Trump said that Democrats’ political reaction to the virus was a “hoax.”
“The video makes it seem like Trump is calling the disease itself a hoax, which he hasn’t done. The words are Trump’s, but the editing is Biden’s,” PolitiFact noted, rating the claim “false.”
Biden’s campaign falsely accused Trump of silencing a CDC official
Biden’s campaign produced a video falsely accusing Trump of silencing a CDC official who warned the public about coronavirus. But that wasn’t true at all, as The Washington Post noted in a fact-check.
Advertisement - story continues below
In the video, Biden campaign adviser Ron Klain claimed the Trump administration silenced career CDC official Nancy Messonnier. Klain claimed that Messonnier had been sidelined from briefing reporters after delivering a widely discussed warning about the virus’s impact on Americans’ lives.
“But Klain’s framing of the Messonnier situation is simply wrong,” the Post’s fact-check noted, adding that Messonnier continued briefing reporters for weeks after the statement in question. The Post awarded four out of four Pinocchios to the Biden campaign’s false claim.
Biden falsely said he hasn’t criticized the president’s coronavirus response
Biden falsely said Tuesday on “The View” that he hasn’t criticized Trump on coronavirus.
Advertisement - story continues below
“I’ve not been criticizing the president, but I’ve been pointing out where there’s disagreement as to how to proceed,” Biden asserted. “The coronavirus is not his fault, but the lack of speed and alacrity with which to respond to it has to move much faster.”
Biden was sharply critical of Trump before his appearance on “The View,” and he’s continued launching criticism after the interview.
“Donald Trump is wholly unfit to lead this nation — and that has become even clearer in the last few weeks,” Biden wrote in a tweet Tuesday afternoon.
Biden’s campaign didn’t return a request for comment for this article.
Advertisement - story continues below
[Editor's note: This story originally was published by the Daily Caller News Foundation.]

","March 25, 2020 at 11:07am",https://www.wnd.com/2020/03/5-examples-biden-pushing-misinformation-coronavirus/
MIT PhD reveals sinister theory about coronavirus,"
A biological engineer with four degrees from the Massachusetts Institute of Technology believes the coronavirus pandemic is being used by ""Deep State"" bureaucrats to further their agenda.
Advertisement - story continues below
Shiva Ayyadurai, a candidate for a U.S. Senate seat from Massachusetts, warned on Twitter that the crisis is being manipulated, the Western Journal reported
""As an MIT PhD in Biological Engineering who studies & does research nearly every day on the Immune System, the #coronavirus fear mongering by the Deep State will go down in history as one of the biggest fraud to manipulate economies, suppress dissent, & push MANDATED Medicine!"" he wrote March 9.
Ayyadurai doesn't believe the outbreak itself is a hoax, urging citizens to follow the guidelines of federal, state and local governments, and the U.S. Centers for Disease Control and Prevention.

TRENDING: 2 Fox stars gave Donna Brazile lesson in manners after outrageous 'Go to hell' comment

Vowing to serve only one term, he says on his campaign site that ""career politicians exist to serve themselves, not America and not YOU.""
""They spend 80% of their time after election to get re-elected, and the remaining 20% on legislation to pay back those who funded their election. I will serve one-term, 100% for you, and I will push forward legislation for your long-term interests, not my re-election,"" he says.
Advertisement - story continues below
Born in India, Shiva came to the United States with his family in 1970 at the age of 7.
He followed up his tweet with a video March 13 presenting more of his thoughts about the outbreak.
Shiva said the CDC is ""corrupt,"" focusing mostly on reactions to outbreaks rather than preventative measures such as improving immune health.
""The real infection here, he said, is the fear and the uncertainty that we need to overcome as an American family, to get strong, to move foward,"" he said.
Shiva said the outbreak provides an opportunity for Americans to improve their immune health, asking, ""What does it mean to have a healthy and resilient immune system?""
Advertisement - story continues below
See his video:
Dr.SHIVA LIVE: Time for Truth on #CoronaVirus (re-posting with right title) https://t.co/8oI2GFnbo9
— Dr.SHIVA Ayyadurai, MIT PhD. Inventor of Email (@va_shiva) March 14, 2020


","March 17, 2020 at 5:50pm",https://www.wnd.com/2020/03/mit-phd-reveals-sinister-theory-coronavirus/
Will the FDA approve chloroquine to treat coronavirus?,"Something rather remarkable has occurred just recently regarding the Chinese/Wuhan coronavirus. And yes, I said it. Go ahead and call me a racist if you wish.
A treatment has been developed that shows promise at stopping the virus in virtually all patients for whom it's been administered.
Advertisement - story continues below
Early tests suggest that it can stop the virus from being contagious in just six days, with little to no side effects.
This is a huge breakthrough that's happened in no time flat.
I stress that this appears effective as a treatment. It is not a vaccine, but if it's as effective as advertized, it will buy the time needed to develop one.

TRENDING: 2 Fox stars gave Donna Brazile lesson in manners after outrageous 'Go to hell' comment

Professor Didier Raoult from infection hospital l'Institut Hospitalo-Universitaire (IHU) Méditerranée Infection in Marseille, France, said that, ""the first COVID-19 patients he had treated with the drug chloroquine had seen a rapid and effective speeding up of their healing process, and a sharp decrease in the amount of time they remained contagious.""
Chloroquine is a drug that's been around since 1945 and was originally developed to prevent and treat malaria.
Advertisement - story continues below
Interestingly, virtually the same drug, Chloroquine phosphate and hydroxychloroquine, have been and are being used in China and Korea with similar results. This appears too unlikely to be coincidental, but there doesn't appear to be collaboration between the Chinese, the South Koreans and the French.
However, in my opinion, there must be something there.
Whatever the case, it may be the reason why the Chinese have announced such a rapid turnaround, and drastic lessoning of reported cases and deaths.
And it also may be the reason Great Britain has banned the export of any stockpiles of the drug. The word is evidently getting out.
Recall the New Jersey physician's assistant, James Cai, who contracted coronavirus. After his doctors consulted with Chinese physicians, he was given a combination of chloroquine and the HIV drug Kaletra. He is now recovering, but says that without this treatment he would have ""been a goner.""
Advertisement - story continues below
So what about this anti-malarial drug chloroquine? There may be a problem. It's a drug that was approved only for malaria, not for COVID-19.
Without specific approval, will our beneficent FDA just allow its use for an entirely new and different purpose?
Over the years the United States Food and Drug Administration has received a well deserved bad rap when it comes to drug treatment approvals.
It can take years for the agency to approve medications, and in many cases, patients have died waiting for approval.
Advertisement - story continues below
Will President Trump's signing of the ""Right to Try Act"" into law in 2018 make a difference this time around, or will it be FDA business as usual?
For those unfamiliar, in a nut shell, the Right to Try law gives only terminally ill patients the option to accept treatment of experimental drugs. The thought is that these patients stand little chance of survival anyway, so why not let them at least try something new, whether it's been yet blessed by the almighty FDA or not.
However, not just anything can be tried. A patient couldn't legally suggest that his doctor administer the latest voodoo cure or Shaman remedy. The treatment would at least have to have passed ""phase 1"" clinical trials at the FDA.
Knowing this, the president has made a pitch to the FDA to allow the use of chloroquine for treatment of COVID-19.
Advertisement - story continues below
The jury is still out on what they will decide: ""That's a drug [chloroquine] that the president has directed us to take a closer look at as to whether an expanded use approach to that could be done to actually see if that benefits patients,"" FDA commissioner Stephen Hahn said.
Doesn't sound like a yes to me, despite the mounting international evidence in the drugs favor.
Hopefully, we won't be left to suffer as the rest of the world recovers.

","March 20, 2020 at 7:26pm",https://www.wnd.com/2020/03/will-fda-approve-chloroquine-treat-coronavirus/
Will coronavirus kill the New World Order?,"Dr. Brian Monahan, attending physician of Congress, told a closed meeting of Senate staffers this week that 70 million to 150 million Americans – a third of the nation – could contract the coronavirus. Dr. Anthony Fauci testified that the mortality rate for COVID-19 will likely run near 1%.
Translation: Between 750,000 and 1.1 million Americans may die of this disease before it runs its course. The latter figure is equal to all the U.S. dead in World War II and on both sides in the Civil War.
Advertisement - story continues below
Chancellor Angela Merkel warns that 70% of Germany's population – 58 million people – could contract the coronavirus. If she is right, and Fauci's mortality rate holds for her country, that could mean more than half a million dead Germans.
Czech Prime Minister Andrej Babis called Merkel's remark ""unhelpful"" and said it could cause panic. But Harvard epidemiologist Marc Lipsitch seemed to support Merkel, saying between 40% and 70% of the world's population could become infected.
Again, if Fauci's 1% mortality rate and Lipsitch's estimate prove on target, between 3 billion and 5 billion people on earth will be infected, and 30 million to 50 million will die, a death toll greater than that of the Spanish Flu of 1918. 

TRENDING: 2 Fox stars gave Donna Brazile lesson in manners after outrageous 'Go to hell' comment

There is, however, some contradictory news. 
China, with 81,000 cases, has noted a deceleration in new cases, and South Korea appears to be gradually containing the spread of the virus.
Advertisement - story continues below
Yet, Italy, with its large elderly population, may be a harbinger of what is to come in the West.
As of Thursday, Italy had reported 12,000 cases and 827 deaths, a mortality rate of nearly 7%. This suggests that the unreported and undetected infections in shutdown Italy are far more numerous. 
In the U.S., the death toll at this writing is 39, a tiny fraction of the annual toll of tens of thousands who die of the flu.
But the problem is this: COVID-19 has not nearly run its course in the USA, while the reaction in society and the economy approaches what we might expect from a boiling national disaster.
The stock market has plunged further and faster than it did in the Great Crash of 1929. Trillions of dollars in wealth have vanished. If Sen. Bernie Sanders does not like ""millionaires and billionaires,"" he should be pleased. There are far fewer of them today than there were when he won the New Hampshire primary. 
Advertisement - story continues below
What does the future hold?
It may one day be said that the coronavirus delivered the deathblow to the New World Order, to a half-century of globalization and to the era of interdependence of the world's great nations. 
Tourism, air travel, vacation cruises, international gatherings and festivals are already shutting down. Travel bans between countries and continents are being imposed. Conventions, concerts and sporting events are being canceled. Will the Tokyo Olympics go forward? If they do, will all the anticipated visitors from abroad come to Japan to enjoy the games?
Trump has issued a one-month travel ban on Europe.
Advertisement - story continues below
As for the ""open borders"" crowd, do Democrats still believe that breaking into our country should no longer be a crime, and immigrants arriving illegally should be given free health care, a proposition to which all the Democratic debaters raised their hands?
The ideological roots of our free trade era can be traced to the mid-19th century when its great evangelist, Richard Cobden, rose at Free Trade Hall in Manchester on Jan. 15, 1846, and rhapsodized:
""I see in the Free Trade principle that which shall act on the moral world as the principle of gravitation in the universe – drawing men together, thrusting aside the antagonism of race, and creed, and language, and uniting us in the bonds of eternal peace.""
In the pre-Trump era, Republicans held hands with liberal Democrats in embracing NAFTA, GATT, the WTO and most-favored-nation trade privileges for China.
Advertisement - story continues below
In retrospect, was it wise to have relied on China to produce essential parts for the supply chains of goods vital to our national security? Does it appear wise to have moved the production of pharmaceuticals and lifesaving drugs for heart disease, strokes and diabetes to China? Does it appear wise to have allowed China to develop a virtual monopoly on rare earth minerals crucial to the development of weapons for our defense?
In this coronavirus pandemic, people now seem to be looking for authoritative leaders, and nations seem to be looking out for their own peoples first. Would Merkel, today, invite a million Syrian refugees into Germany no matter the conditions under which they were living in Syria and Turkey?
Is not the case now conclusive that we made a historic mistake when we outsourced our economic independence to rely for vital necessities upon nations that have never had America's best interests at heart?
Which rings truer today? We are all part of mankind, all citizens of the world. Or that it's time to put America and Americans first!
Advertisement - story continues below

","March 12, 2020 at 7:07pm",https://www.wnd.com/2020/03/will-coronavirus-kill-new-world-order/
